Date, Accum_CVEs
Jan-97,0
Feb-97,0
Mar-97,0
Apr-97,0
May-97,0
Jun-97,0
Jul-97,0
Aug-97,1
Sep-97,1
Oct-97,1
Nov-97,1
Dec-97,1
Jan-98,1
Feb-98,1
Mar-98,1
Apr-98,1
May-98,1
Jun-98,1
Jul-98,1
Aug-98,1
Sep-98,1
Oct-98,1
Nov-98,1
Dec-98,1
Jan-99,1
Feb-99,1
Mar-99,1
Apr-99,1
May-99,1
Jun-99,2
Jul-99,2
Aug-99,2
Sep-99,2
Oct-99,2
Nov-99,2
Dec-99,2
Jan-00,2
Feb-00,2
Mar-00,2
Apr-00,2
May-00,2
Jun-00,2
Jul-00,2
Aug-00,2
Sep-00,2
Oct-00,2
Nov-00,2
Dec-00,2
Jan-01,2
Feb-01,2
Mar-01,2
Apr-01,2
May-01,2
Jun-01,2
Jul-01,2
Aug-01,2
Sep-01,3
Oct-01,4
Nov-01,4
Dec-01,7
Jan-02,7
Feb-02,7
Mar-02,7
Apr-02,7
May-02,7
Jun-02,7
Jul-02,8
Aug-02,11
Sep-02,11
Oct-02,11
Nov-02,13
Dec-02,27
Jan-03,27
Feb-03,27
Mar-03,29
Apr-03,29
May-03,32
Jun-03,34
Jul-03,34
Aug-03,36
Sep-03,36
Oct-03,38
Nov-03,50
Dec-03,53
Jan-04,53
Feb-04,53
Mar-04,70
Apr-04,70
May-04,73
Jun-04,73
Jul-04,77
Aug-04,85
Sep-04,87
Oct-04,88
Nov-04,93
Dec-04,110
Jan-05,119
Feb-05,119
Mar-05,122
Apr-05,123
May-05,152
Jun-05,161
Jul-05,161
Aug-05,186
Sep-05,186
Oct-05,195
Nov-05,200
Dec-05,216
Jan-06,216
Feb-06,218
Mar-06,232
Apr-06,238
May-06,257
Jun-06,261
Jul-06,263
Aug-06,280
Sep-06,285
Oct-06,294
Nov-06,317
Dec-06,323
Jan-07,343
Feb-07,349
Mar-07,362
Apr-07,379
May-07,394
Jun-07,400
Jul-07,403
Aug-07,415
Sep-07,420
Oct-07,421
Nov-07,460
Dec-07,485
Jan-08,488
Feb-08,494
Mar-08,528
Apr-08,530
May-08,531
Jun-08,551
Jul-08,558
Aug-08,566
Sep-08,588
Oct-08,599
Nov-08,599
Dec-08,610
Jan-09,616
Feb-09,633
Mar-09,637
Apr-09,641
May-09,661
Jun-09,664
Jul-09,664
Aug-09,679
Sep-09,691
Oct-09,695
Nov-09,719
Dec-09,720
Jan-10,738
Feb-10,738
Mar-10,787
Apr-10,803
May-10,806
Jun-10,882
Jul-10,903
Aug-10,910
Sep-10,915
Oct-10,918
Nov-10,992
Dec-10,1008
Jan-11,1010
Feb-11,1034
Mar-11,1058
Apr-11,1059
May-11,1075
Jun-11,1115
Jul-11,1141
Aug-11,1159
Sep-11,1168
Oct-11,1197
Nov-11,1212
Dec-11,1218
Jan-12,1219
Feb-12,1243
Mar-12,1248
Apr-12,1249
May-12,1263
Jun-12,1266
Jul-12,1268
Aug-12,1313
Sep-12,1322
Oct-12,1347
Nov-12,1362
Dec-12,1365
Jan-13,1369
Feb-13,1414
Mar-13,1428
Apr-13,1434
May-13,1449
Jun-13,1463
Jul-13,1467
Aug-13,1467
Sep-13,1492
Oct-13,1522
Nov-13,1528
Dec-13,1534
Jan-14,1547
Feb-14,1568
Mar-14,1579
Apr-14,1600
May-14,1617
Jun-14,1625
Jul-14,1647
Aug-14,1658
Sep-14,1716
Oct-14,1745
Nov-14,1774
Dec-14,1803
Jan-15,1856
Feb-15,1876
Mar-15,1898
Apr-15,1962
May-15,2018
Jun-15,2046
Jul-15,2146
Aug-15,2256
Sep-15,2306
Oct-15,2419
Nov-15,2444
Dec-15,2593
Jan-16,2619
Feb-16,2659
Mar-16,2738
Apr-16,2764
May-16,2924
Jun-16,2974
Jul-16,3099
Aug-16,3106
Sep-16,3183
Oct-16,3261
Nov-16,3272
Dec-16,3293
Jan-17,3338
Feb-17,3431
Mar-17,3438
Apr-17,3555
May-17,3602
Jun-17,3610
Jul-17,3645
Aug-17,3714
Sep-17,3714
Oct-17,3741
Nov-17,3783
Dec-17,3805
Jan-18,3808
Feb-18,3808
Mar-18,3810
Apr-18,3881
May-18,3895
Jun-18,3935
Jul-18,4101
Aug-18,4110
Sep-18,4118
Oct-18,4205
Nov-18,4208
Dec-18,4212
Jan-19,4328
Feb-19,4329
Mar-19,4350
Apr-19,4448
May-19,4599
Jun-19,4599
Jul-19,4600
Aug-19,4615
Sep-19,4615
Oct-19,4638
Nov-19,4640
Dec-19,4784
Jan-20,4786
Feb-20,4819
Mar-20,4819
Apr-20,4848
May-20,4849
Jun-20,4892
Jul-20,4892
Aug-20,4892
Sep-20,4894
Oct-20,4947
Nov-20,4947
Dec-20,4947
